	title	link	date	abstract	author	surtitle	source
0	Größte Katastrophe der Gegenwart	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20181031_5867375	31.10.2018	"Erst seit der Ermordung des saudischen Dissidenten Jamal Khashoggi unterstützen die Vereinigten Staaten den saudischen Krieg gegen die Houthi- ...
         ..Der verheerende Krieg im Jemen steht noch immer nicht vor dem Ende..."	Rainer Hermann	Kommentar zum Krieg in Jemen	FAZ
1	Städte im Südjemen erobert	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201702045057785_3	04.02.2017	"Das Terrornetzwerk Al Qaida hat im Jemen nach Angaben eines Regierungsmitarbeiters zwei Städte zurückerobert. Die Extremisten hätten die Städte ...
         ..Das Terrornetzwerk Al Qaida hat im Jemen nach Angaben eines Regierungsmitarbeiters zwei Städte zurückerobert...  ..Der Al-Qaida-Ableger im Jemen gilt als eine der aktivsten Terrorgruppen weltweit..."		Wichtiges in Kürze	FAZ
2	Saudi-Arabien bereit zu Militärintervention im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201503264535499	26.03.2015	"mrb. KAIRO, 25. März. Saudi-Arabien und weitere Staaten der Arabischen Liga bereiten sich auf eine mögliche Militärintervention im Jemen vor. ...
         ..Saudi-Arabien und weitere Staaten der Arabischen Liga bereiten sich auf eine mögliche Militärintervention im Jemen vor...  ..Die Arabische Liga will an diesem Donnerstag über ein militärisches Eingreifen im Jemen beraten...  ..Jassin beschuldigte Iran, den Jemen ""übernehmen"" zu wollen..."	Iran unterstützte Houthi-Rebellen rücken weiter vor / Präsident Hadi auf der Flucht		FAZ
3	Jemenitische Regierung und Separatisten wollen sich arrangieren	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200729_6881197	29.07.2020	"Es ist schon etwas her, dass Saudi-Arabien Erfolgsmeldungen über sein Jemen-Engagement verbreiten konnte. Am Mittwoch meldeten sich nun mehrere ...
         ..Es ist schon etwas her, dass Saudi-Arabien Erfolgsmeldungen über sein Jemen-Engagement verbreiten konnte...  ..Seine Zuversicht steht allerdings in klarem Gegensatz zu den Erfahrungswerten internationaler Vermittlungsbemühungen im Jemen.."	Christoph Ehrhardt	Nach Abkommen von Riad	FAZ
4	Militärkoalition greift Ziele von Houthi-Rebellen im Jemen an	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190920_6393986	20.09.2019	"Wenige Tage nach den Angriffen auf Ölanlagen in Saudi-Arabien hat die von Saudi-Arabien angeführte Militärkoalition Angriffe auf die Houthi- ...
         ..auf Ölanlagen in Saudi-Arabien hat die von Saudi-Arabien angeführte Militärkoalition Angriffe auf die Houthi-Rebellen im Jemen..  ..Die Houthi-Rebellen, die im Bürgerkrieg im Jemen von Iran unterstützt werden, hatten sich zu den Angriffen auf Ölanlagen.."		Krise am Persischen Golf	FAZ
5	Iran schickt Kriegsschiffe an Jemens Küste	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150408_3527561	08.04.2015	"Zwei Wochen nach Beginn von Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die Gefahr, dass Iran in den ...
         ..Luftangriffen durch ein von Saudi-Arabien geführtes Bündnis arabischer Staaten wächst die Gefahr, dass Iran in den Konflikt im Jemen..  ..amerikanische Außenminister Antony Blinken hatte nach einem Treffen mit Hadi in Riad den Houthi-Rebellen die Schuld an der Krise im Jemen.."		Gefechte in Aden	FAZ
6	Mehr Ankünfte von Migranten im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2202002155935582_6	15.02.2020	"Im vergangenen Jahr sind mehr Migranten aus Afrika im Bürgerkriegsland Jemen angekommen, als über das Mittelmeer nach Europa kamen. Das berichtete ...
         ..Im vergangenen Jahr sind mehr Migranten aus Afrika im Bürgerkriegsland Jemen angekommen, als über das Mittelmeer nach Europa.."		Wichtiges in Kürze	FAZ
7	Tote bei Gefechten im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201503254534351_5	25.03.2015	"Bei Kämpfen zwischen Anhängern und Gegnern von Präsident Abd Rabbo Mansur Hadi sind im Jemen mindestens 30 Menschen getötet worden. In der Provinz ...
         ..Bei Kämpfen zwischen Anhängern und Gegnern von Präsident Abd Rabbo Mansur Hadi sind im Jemen mindestens 30 Menschen getötet.."		Wichtiges in Kürze	FAZ
8	UN: Hungerkrise im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201703165089489_4	16.03.2017	"Im Jemen droht nach Angaben der Vereinten Nationen eine schlimme Hungerkrise. Fast zwei Drittel der Bevölkerung litten unter Hunger und brauchten ...
         ..Im Jemen droht nach Angaben der Vereinten Nationen eine schlimme Hungerkrise..."		Wichtiges in Kürze	FAZ
9	Waffenruhe im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR12022040250001494859239_3	02.04.2022	"Im Jemen haben sich die Konfliktparteien UN-Angaben zufolge auf eine zunächst zwei Monate andauernde Waffenruhe geeinigt. Sie soll am Samstagabend ...
         ..Im Jemen haben sich die Konfliktparteien UN-Angaben zufolge auf eine zunächst zwei Monate andauernde Waffenruhe geeinigt...  ..Sie soll am Samstagabend beginnen, wie der UN-Sondergesandte für den Jemen, Hans Grundberg, am Freitag mitteilte. dpa.."		Wichtiges in Kürze	FAZ
10	Jemen beschränkt Militäreinsätze	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD1201702095061435	09.02.2017	"cmei. FRANKFURT, 8. Februar. Der Einsatz einer amerikanischen Spezialeinheit im Jemen hat Folgen für den Antiterrorkrieg der Vereinigten Staaten: ...
         ..Der Einsatz einer amerikanischen Spezialeinheit im Jemen hat Folgen für den Antiterrorkrieg der Vereinigten Staaten: Wie..  ..die ""New York Times"" am Mittwoch berichtete, hat der Jemen seinem Verbündeten die Erlaubnis entzogen, Bodentruppen in dem..  ..Die Beschränkung gilt jedoch offenbar nicht für den Einsatz amerikanischer Drohnen im Jemen..."		Keine amerikanischen Bodentruppen mehr im Land	FAZ
11	UN warnen vor Millionen Hungertoten im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20171109_5284050	09.11.2017	"Im Jemen sind wegen der saudi-arabischen Blockade nach Einschätzung der Vereinten Nationen die Leben von Millionen Menschen bedroht. Diese könnten ...
         ..Im Jemen sind wegen der saudi-arabischen Blockade nach Einschätzung der Vereinten Nationen die Leben von Millionen Menschen..  ..Darin hätten die 15 Mitgliedsländer ihre ""Beunruhigung"" über die Situation im Jemen geäußert...  ..Ein saudi-arabisch geführtes Militärbündnis unterstützt die international anerkannte Regierung des Jemen und bombardiert.."		Blockade Saudi-Arabiens	FAZ
12	Houthi im Siegestaumel	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201909305821582	30.09.2019	"BEIRUT, 29. September. ""Wir kommen"", sagt der Mann in dem Video, das Sturmgewehr lässig am Lauf gefasst und auf der Schulter abgelegt, in der ...
         ..So oder so wäre es ein weiterer Rückschlag für den saudischen Jemen-Feldzug...  ..Die Führung in Abu Dhabi ist des Krieges im Jemen überdrüssig und hat den Großteil ihrer Truppen diskret abgezogen...  ..Und im Weißen Haus gerät Präsident Trump unter zunehmenden innenpolitischen Druck, den saudischen Krieg im Jemen, der eine.."		Die schiitischen Rebellen im Jemen haben der saudisch geführten Kriegskoalition offenbar einen schweren Schlag versetzt / Von Christoph Ehrhardt	FAZ
13	Wieder Luftangriffe im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FR1201608104920465_5	10.08.2016	Erstmals seit drei Monaten hat die arabische Militärkoalition wieder Angriffe auf Stellungen der Houthi-Rebellen in der jemenitischen Hauptstadt ...		Wichtiges in Kürze	FAZ
14	Al-Qaida-Führer im Jemen getötet	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20200207_6621613	07.02.2020	"Die Vereinigten Staaten haben die Tötung eines Al-Qaida-Anführers im Bürgerkriegsland Jemen gemeldet. Der Angriff sei auf Befehl von Präsident ...
         ..Die Vereinigten Staaten haben die Tötung eines Al-Qaida-Anführers im Bürgerkriegsland Jemen gemeldet...  ..Auch sein Vorgänger war bei einem amerikanischen Drohnenangriff im Jemen getötet worden...  ..Im Jemen fliegen die amerikanischen Streitkräfte seit Jahren Drohnenangriffe auf Al-Qaida-Mitglieder..."		Amerikaner melden	FAZ
15	Saudi-Arabien fliegt Angriffe auf Huthi-Stellungen im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20190410_6134619	10.04.2019	"Im Jemen nimmt die Gewalt in der Hauptstadt Sanaa wieder zu. Die von Saudi-Arabien angeführte Koalition flog am Mittwoch Angriffe auf Huthi- ...
         ..Im Jemen nimmt die Gewalt in der Hauptstadt Sanaa wieder zu...  ..Dezember vereinbarter Waffenstillstand für die Hafenstadt Hodeida weitgehend hält, nehmen die Spannungen andernorts im Jemen..  ..Nicht zuletzt wegen der saudiarabischen Rolle im Krieg im Jemen hatte die Bundesregierung das einseitige deutsche Moratorium.."		In Sanaa	FAZ
16	Hotel im Jemen getroffen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD2201510074689944_2	07.10.2015	Bei Angriffen in Aden im Süden des Jemens sind mindestens 15 Militärangehörige der Vereinigten Arabischen Emirate (VAE) sowie jemenitischer ...		Wichtiges in Kürze	FAZ
17	Fast 50 Tote im Jemen	https://www.faz-biblionet.de/faz-portal/document?uid=FAZ__FD3201801055323149_5	05.01.2018	"Im Jemen sind bei Luftangriffen der von Saudi-Arabien angeführten Militärkoalition außer 36 Rebellenkämpfern auch zwölf Zivilisten getötet worden, ...
         ..Im Jemen sind bei Luftangriffen der von Saudi-Arabien angeführten Militärkoalition außer 36 Rebellenkämpfern auch zwölf Zivilisten..  ..Im Jemen kämpfen die von Saudi-Arabien unterstützten Truppen des sunnitischen Präsidenten Abd Rabbo Mansur Hadi gegen die.."		Wichtiges in Kürze	FAZ
18	Dutzende Opfer bei Anschlagsserie in Sanaa	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150617_3653219	17.06.2015	"Eine Anschlagserie in Jemens Hauptstadt Sanaa hat Dutzende Todesopfer und Verletzte gefordert. Mindestens drei Autobomben seien am Mittwoch ...
         ..Im Jemen kämpfen die schiitische Houthi-Rebellen gegen Anhänger des sunnitischen Präsidenten Abed Rabbo Mansur Hadi, der..  ..am Mittwoch kurzfristig beeinträchtigt, weil Houthi-Kämpfer das Haus des Regierungsunterhändlers Abdel-Asis Dschubari im Jemen.."		Jemen	FAZ
19	Amerika liefert mehr Waffen an Saudis	https://www.faz-biblionet.de/faz-portal/document?uid=FAZN__20150408_3527093	08.04.2015	"Saudi-Arabien und seine Verbündeten haben ihre Luftangriffe auf Stellungen der jemenitischen Houthi-Rebellen fortgesetzt, ohne dass aber große ...
         ..Der amerikanische Verteidigungsminister Ash Carter warnte, den Zerfall des Jemen nutze auch Al Qaida aus, um ihre Stellung..  ..Die Vereinigten Staaten bekämpfen den al-Qaida-Ableger im Jemen vornehmlich mit Drohnenangriffen...  ..Dies wäre zwar leichter mit einer stabilen kooperationswilligen Regierung, die es im Jemen aber nicht mehr gebe..."		Krieg im Jemen	FAZ
